timestamp,graph_type,place_name or coordinates,odtc_time,odtc_central_nodes_count,total_origin_nodes,total_dest_nodes,total_odtc_nodes,tc_time,tc_central_nodes_count,total_tc_nodes
2025-03-30T20:36:13.961386,Ring,"(14.6514, 121.0497)",0.04279113,36,58,150,379,0.23406529,34,379
2025-03-30T20:36:26.916974,Ring,"(14.6514, 121.0497)",0.04290438,36,58,150,379,0.2383287,34,379
2025-03-30T20:36:39.766583,Ring,"(14.6514, 121.0497)",0.04318142,36,58,150,379,0.23711324,34,379
2025-03-30T20:36:52.683023,Ring,"(14.6514, 121.0497)",0.0427382,36,58,150,379,0.23820686,34,379
2025-03-30T20:37:05.514758,Ring,"(14.6514, 121.0497)",0.04324651,36,58,150,379,0.23703432,34,379
2025-03-30T20:37:18.408730,Ring,"(14.6514, 121.0497)",0.04300928,36,58,150,379,0.23707819,34,379
2025-03-30T20:37:31.339974,Ring,"(14.6514, 121.0497)",0.04263401,36,58,150,379,0.31006527,34,379
2025-03-30T20:37:44.159284,Ring,"(14.6514, 121.0497)",0.04298854,36,58,150,379,0.23999524,34,379
2025-03-30T20:37:57.041672,Ring,"(14.6514, 121.0497)",0.04288101,36,58,150,379,0.23889422,34,379
2025-03-30T20:38:09.951758,Ring,"(14.6514, 121.0497)",0.04263997,36,58,150,379,0.23580623,34,379
2025-03-30T20:38:22.778394,Ring,"(14.6514, 121.0497)",0.04286504,36,58,150,379,0.23677421,34,379
2025-03-30T20:38:35.599425,Ring,"(14.6514, 121.0497)",0.04318261,36,58,150,379,0.23681092,34,379
2025-03-30T20:38:48.500097,Ring,"(14.6514, 121.0497)",0.04269719,36,58,150,379,0.23818731,34,379
2025-03-30T20:39:01.322877,Ring,"(14.6514, 121.0497)",0.04279423,36,58,150,379,0.23629737,34,379
2025-03-30T20:39:14.162951,Ring,"(14.6514, 121.0497)",0.04274392,36,58,150,379,0.23688793,34,379
2025-03-30T20:39:27.075449,Ring,"(14.6514, 121.0497)",0.0422585,36,58,150,379,0.31238198,34,379
2025-03-30T20:39:39.920674,Ring,"(14.6514, 121.0497)",0.04299235,36,58,150,379,0.2386198,34,379
2025-03-30T20:39:52.748326,Ring,"(14.6514, 121.0497)",0.04312801,36,58,150,379,0.23713374,34,379
2025-03-30T20:40:05.698375,Ring,"(14.6514, 121.0497)",0.04303622,36,58,150,379,0.23732138,34,379
2025-03-30T20:40:18.551149,Ring,"(14.6514, 121.0497)",0.04296207,36,58,150,379,0.23644042,34,379
2025-03-30T20:40:31.372782,Ring,"(14.6514, 121.0497)",0.04300022,36,58,150,379,0.23704815,34,379
2025-03-30T20:40:44.262028,Ring,"(14.6514, 121.0497)",0.04250073,36,58,150,379,0.23748541,34,379
2025-03-30T20:40:57.092670,Ring,"(14.6514, 121.0497)",0.0425055,36,58,150,379,0.23587155,34,379
2025-03-30T20:41:09.923392,Ring,"(14.6514, 121.0497)",0.04273486,36,58,150,379,0.23683333,34,379
2025-03-30T20:41:22.866479,Ring,"(14.6514, 121.0497)",0.04264522,36,58,150,379,0.31231952,34,379
2025-03-30T20:41:35.682582,Ring,"(14.6514, 121.0497)",0.04266191,36,58,150,379,0.23615336,34,379
2025-03-30T20:41:48.563324,Ring,"(14.6514, 121.0497)",0.04276538,36,58,150,379,0.23824024,34,379
2025-03-30T20:42:01.513049,Ring,"(14.6514, 121.0497)",0.04300308,36,58,150,379,0.23754811,34,379
2025-03-30T20:42:14.396630,Ring,"(14.6514, 121.0497)",0.04320693,36,58,150,379,0.23666668,34,379
2025-03-30T20:42:27.284521,Ring,"(14.6514, 121.0497)",0.04253197,36,58,150,379,0.23623729,34,379
2025-03-30T20:42:40.208401,Ring,"(14.6514, 121.0497)",0.04323363,36,58,150,379,0.23879576,34,379
2025-03-30T20:42:53.023406,Ring,"(14.6514, 121.0497)",0.04271913,36,58,150,379,0.23585987,34,379
2025-03-30T20:43:05.863892,Ring,"(14.6514, 121.0497)",0.04324961,36,58,150,379,0.2369287,34,379
2025-03-30T20:43:18.770638,Ring,"(14.6514, 121.0497)",0.04276586,36,58,150,379,0.31129289,34,379
2025-03-30T20:43:31.571154,Ring,"(14.6514, 121.0497)",0.04259229,36,58,150,379,0.2363534,34,379
2025-03-30T20:43:44.418949,Ring,"(14.6514, 121.0497)",0.04272485,36,58,150,379,0.23542333,34,379
2025-03-30T20:43:57.339404,Ring,"(14.6514, 121.0497)",0.0425303,36,58,150,379,0.23494434,34,379
2025-03-30T20:44:10.192997,Ring,"(14.6514, 121.0497)",0.0426631,36,58,150,379,0.23604202,34,379
2025-03-30T20:44:23.072098,Ring,"(14.6514, 121.0497)",0.04306674,36,58,150,379,0.23821568,34,379
2025-03-30T20:44:36.008966,Ring,"(14.6514, 121.0497)",0.04304218,36,58,150,379,0.2375052,34,379
2025-03-30T20:44:48.861878,Ring,"(14.6514, 121.0497)",0.04279184,36,58,150,379,0.23738503,34,379
2025-03-30T20:45:01.690402,Ring,"(14.6514, 121.0497)",0.04267764,36,58,150,379,0.23714066,34,379
2025-03-30T20:45:14.621364,Ring,"(14.6514, 121.0497)",0.04271507,36,58,150,379,0.31404328,34,379
2025-03-30T20:45:27.456416,Ring,"(14.6514, 121.0497)",0.04288673,36,58,150,379,0.23788881,34,379
