timestamp,graph_type,place_name or coordinates,odtc_time,odtc_central_nodes_count,total_origin_nodes,total_dest_nodes,total_odtc_nodes,tc_time,tc_central_nodes_count,total_tc_nodes
2025-02-21T22:56:51.648678,Grid,"Sampaloc, Manila",2.3654,38,58,123,628,5.5907,33,628
2025-02-21T22:57:05.016699,Grid,"Sampaloc, Manila",2.3751,38,58,123,628,5.5777,33,628
2025-02-21T22:57:18.245920,Grid,"Sampaloc, Manila",2.3666,38,58,123,628,5.5029,33,628
2025-02-21T22:57:31.511606,Grid,"Sampaloc, Manila",2.373,38,58,123,628,5.5389,33,628
2025-02-21T22:57:44.728726,Grid,"Sampaloc, Manila",2.3634,38,58,123,628,5.508,33,628
2025-02-21T22:57:58.033308,Grid,"Sampaloc, Manila",2.3755,38,58,123,628,5.5804,33,628
2025-02-21T22:58:11.329206,Grid,"Sampaloc, Manila",2.378,38,58,123,628,5.5394,33,628
2025-02-21T22:58:24.631894,Grid,"Sampaloc, Manila",2.385,38,58,123,628,5.6101,33,628
2025-02-21T22:58:37.895641,Grid,"Sampaloc, Manila",2.3732,38,58,123,628,5.5864,33,628
2025-02-21T22:58:51.071831,Grid,"Sampaloc, Manila",2.3757,38,58,123,628,5.5161,33,628
2025-02-21T22:59:04.376303,Grid,"Sampaloc, Manila",2.3905,38,58,123,628,5.5469,33,628
2025-02-21T22:59:17.642147,Grid,"Sampaloc, Manila",2.3713,38,58,123,628,5.5296,33,628
2025-02-21T22:59:30.918767,Grid,"Sampaloc, Manila",2.3743,38,58,123,628,5.538,33,628
2025-02-21T22:59:44.250387,Grid,"Sampaloc, Manila",2.3958,38,58,123,628,5.5819,33,628
2025-02-21T22:59:57.473634,Grid,"Sampaloc, Manila",2.3577,38,58,123,628,5.5057,33,628
2025-02-21T23:00:10.737264,Grid,"Sampaloc, Manila",2.3709,38,58,123,628,5.5249,33,628
2025-02-21T23:00:24.009331,Grid,"Sampaloc, Manila",2.3685,38,58,123,628,5.5227,33,628
2025-02-21T23:00:37.268701,Grid,"Sampaloc, Manila",2.3693,38,58,123,628,5.5168,33,628
2025-02-21T23:00:50.549284,Grid,"Sampaloc, Manila",2.3835,38,58,123,628,5.5163,33,628
2025-02-21T23:01:03.787730,Grid,"Sampaloc, Manila",2.3656,38,58,123,628,5.4971,33,628
